Id,Id2,Geography,Total,White,Black,Native_American,Asian,Hawaiian_or_Pacific_Islander,Other_Race,Two+_Races,Two+_Races_not_Other,Three+_Races_not_Other
1500000US360050001000,360050001000,"Block Group 0, Census Tract 1, Bronx County, New York",0,0,0,0,0,0,0,0,0,0
1500000US360050001001,360050001001,"Block Group 1, Census Tract 1, Bronx County, New York",8430,1184,4851,4,167,0,2028,196,125,71
1500000US360050002000,360050002000,"Block Group 0, Census Tract 2, Bronx County, New York",0,0,0,0,0,0,0,0,0,0
1500000US360050002001,360050002001,"Block Group 1, Census Tract 2, Bronx County, New York",1519,205,638,0,114,0,469,93,0,93
1500000US360050002002,360050002002,"Block Group 2, Census Tract 2, Bronx County, New York",1888,929,471,0,0,0,398,90,0,90
1500000US360050002003,360050002003,"Block Group 3, Census Tract 2, Bronx County, New York",1688,472,314,7,217,0,671,7,7,0
1500000US360050004000,360050004000,"Block Group 0, Census Tract 4, Bronx County, New York",0,0,0,0,0,0,0,0,0,0
1500000US360050004001,360050004001,"Block Group 1, Census Tract 4, Bronx County, New York",825,109,297,0,0,0,419,0,0,0
1500000US360050004002,360050004002,"Block Group 2, Census Tract 4, Bronx County, New York",1311,723,309,0,15,0,254,10,0,10
1500000US360050004003,360050004003,"Block Group 3, Census Tract 4, Bronx County, New York",3028,772,1236,16,2,0,962,40,0,40
1500000US360050004004,360050004004,"Block Group 4, Census Tract 4, Bronx County, New York",408,70,154,0,19,0,165,0,0,0
1500000US360050016001,360050016001,"Block Group 1, Census Tract 16, Bronx County, New York",2726,1120,1060,0,0,0,483,63,45,18
1500000US360050016002,360050016002,"Block Group 2, Census Tract 16, Bronx County, New York",690,299,275,0,0,0,108,8,8,0
1500000US360050016003,360050016003,"Block Group 3, Census Tract 16, Bronx County, New York",731,149,328,0,0,0,254,0,0,0
1500000US360050016004,360050016004,"Block Group 4, Census Tract 16, Bronx County, New York",1265,287,143,0,0,0,815,20,0,20
1500000US360050019000,360050019000,"Block Group 0, Census Tract 19, Bronx County, New York",0,0,0,0,0,0,0,0,0,0
1500000US360050019001,360050019001,"Block Group 1, Census Tract 19, Bronx County, New York",1492,417,347,0,22,0,668,38,0,38
1500000US360050019002,360050019002,"Block Group 2, Census Tract 19, Bronx County, New York",110,83,27,0,0,0,0,0,0,0
1500000US360050019003,360050019003,"Block Group 3, Census Tract 19, Bronx County, New York",967,328,440,0,17,0,167,15,6,9
1500000US360050019004,360050019004,"Block Group 4, Census Tract 19, Bronx County, New York",0,0,0,0,0,0,0,0,0,0
1500000US360050019005,360050019005,"Block Group 5, Census Tract 19, Bronx County, New York",0,0,0,0,0,0,0,0,0,0
1500000US360050020001,360050020001,"Block Group 1, Census Tract 20, Bronx County, New York",1081,174,434,76,0,0,162,235,61,174
1500000US360050020002,360050020002,"Block Group 2, Census Tract 20, Bronx County, New York",1828,390,607,0,121,0,710,0,0,0
1500000US360050020003,360050020003,"Block Group 3, Census Tract 20, Bronx County, New York",2823,910,1047,81,143,0,623,19,19,0
1500000US360050020004,360050020004,"Block Group 4, Census Tract 20, Bronx County, New York",1580,233,653,0,26,0,668,0,0,0
1500000US360050020005,360050020005,"Block Group 5, Census Tract 20, Bronx County, New York",641,76,552,0,0,0,13,0,0,0
1500000US360050020006,360050020006,"Block Group 6, Census Tract 20, Bronx County, New York",1006,74,723,0,0,0,209,0,0,0
1500000US360050023001,360050023001,"Block Group 1, Census Tract 23, Bronx County, New York",2469,481,1398,18,0,0,550,22,0,22
1500000US360050023002,360050023002,"Block Group 2, Census Tract 23, Bronx County, New York",573,92,310,16,0,0,121,34,0,34
1500000US360050023003,360050023003,"Block Group 3, Census Tract 23, Bronx County, New York",1818,206,661,21,0,0,885,45,0,45
