Id,Id2,Geography,Total,Not_Latino,White,Black,Native_American,Asian,Hawaiian_or_Pacific_Islander,Other_Race,Two+_Races_NL,Two+_Races_not_Other_NL,Three+_Races_not_Other_NL,Latino,Black_Latino,Native_American_Latino,Asian_Latino,Hawaiian_or_Pacific_Islander_Latino,Latino_and_Other_Race,Two+_Races_Latino,Two+_Races_not_Other_Latino,Three+_Races_not_Other_Latino
1500000US360050001000,360050001000,"Block Group 0, Census Tract 1, Bronx County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US360050001001,360050001001,"Block Group 1, Census Tract 1, Bronx County, New York",8430,5487,585,4647,4,167,0,14,70,14,56,2943,204,0,0,0,2014,126,111,15
1500000US360050002000,360050002000,"Block Group 0, Census Tract 2, Bronx County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US360050002001,360050002001,"Block Group 1, Census Tract 2, Bronx County, New York",1519,630,0,489,0,114,0,27,0,0,0,889,149,0,0,0,442,93,0,93
1500000US360050002002,360050002002,"Block Group 2, Census Tract 2, Bronx County, New York",1888,576,115,408,0,0,0,53,0,0,0,1312,63,0,0,0,345,90,0,90
1500000US360050002003,360050002003,"Block Group 3, Census Tract 2, Bronx County, New York",1688,384,0,144,0,217,0,23,0,0,0,1304,170,7,0,0,648,7,7,0
1500000US360050004000,360050004000,"Block Group 0, Census Tract 4, Bronx County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US360050004001,360050004001,"Block Group 1, Census Tract 4, Bronx County, New York",825,200,0,200,0,0,0,0,0,0,0,625,97,0,0,0,419,0,0,0
1500000US360050004002,360050004002,"Block Group 2, Census Tract 4, Bronx County, New York",1311,407,72,309,0,0,0,26,0,0,0,904,0,0,15,0,228,10,0,10
1500000US360050004003,360050004003,"Block Group 3, Census Tract 4, Bronx County, New York",3028,1269,88,1056,0,2,0,115,8,0,8,1759,180,16,0,0,847,32,0,32
1500000US360050004004,360050004004,"Block Group 4, Census Tract 4, Bronx County, New York",408,163,0,144,0,19,0,0,0,0,0,245,10,0,0,0,165,0,0,0
1500000US360050016001,360050016001,"Block Group 1, Census Tract 16, Bronx County, New York",2726,1067,54,995,0,0,0,0,18,0,18,1659,65,0,0,0,483,45,45,0
1500000US360050016002,360050016002,"Block Group 2, Census Tract 16, Bronx County, New York",690,237,8,229,0,0,0,0,0,0,0,453,46,0,0,0,108,8,8,0
1500000US360050016003,360050016003,"Block Group 3, Census Tract 16, Bronx County, New York",731,260,11,249,0,0,0,0,0,0,0,471,79,0,0,0,254,0,0,0
1500000US360050016004,360050016004,"Block Group 4, Census Tract 16, Bronx County, New York",1265,154,2,136,0,0,0,16,0,0,0,1111,7,0,0,0,799,20,0,20
1500000US360050019000,360050019000,"Block Group 0, Census Tract 19, Bronx County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US360050019001,360050019001,"Block Group 1, Census Tract 19, Bronx County, New York",1492,507,127,275,0,22,0,56,27,0,27,985,72,0,0,0,612,11,0,11
1500000US360050019002,360050019002,"Block Group 2, Census Tract 19, Bronx County, New York",110,0,0,0,0,0,0,0,0,0,0,110,27,0,0,0,0,0,0,0
1500000US360050019003,360050019003,"Block Group 3, Census Tract 19, Bronx County, New York",967,553,82,430,0,17,0,15,9,0,9,414,10,0,0,0,152,6,6,0
1500000US360050019004,360050019004,"Block Group 4, Census Tract 19, Bronx County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US360050019005,360050019005,"Block Group 5, Census Tract 19, Bronx County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US360050020001,360050020001,"Block Group 1, Census Tract 20, Bronx County, New York",1081,591,14,403,0,0,0,0,174,0,174,490,31,76,0,0,162,61,61,0
1500000US360050020002,360050020002,"Block Group 2, Census Tract 20, Bronx County, New York",1828,723,36,566,0,121,0,0,0,0,0,1105,41,0,0,0,710,0,0,0
1500000US360050020003,360050020003,"Block Group 3, Census Tract 20, Bronx County, New York",2823,1098,45,883,27,143,0,0,0,0,0,1725,164,54,0,0,623,19,19,0
1500000US360050020004,360050020004,"Block Group 4, Census Tract 20, Bronx County, New York",1580,546,19,501,0,26,0,0,0,0,0,1034,152,0,0,0,668,0,0,0
1500000US360050020005,360050020005,"Block Group 5, Census Tract 20, Bronx County, New York",641,284,0,284,0,0,0,0,0,0,0,357,268,0,0,0,13,0,0,0
1500000US360050020006,360050020006,"Block Group 6, Census Tract 20, Bronx County, New York",1006,453,0,453,0,0,0,0,0,0,0,553,270,0,0,0,209,0,0,0
1500000US360050023001,360050023001,"Block Group 1, Census Tract 23, Bronx County, New York",2469,1008,9,999,0,0,0,0,0,0,0,1461,399,18,0,0,550,22,0,22
1500000US360050023002,360050023002,"Block Group 2, Census Tract 23, Bronx County, New York",573,264,2,262,0,0,0,0,0,0,0,309,48,16,0,0,121,34,0,34
1500000US360050023003,360050023003,"Block Group 3, Census Tract 23, Bronx County, New York",1818,603,9,594,0,0,0,0,0,0,0,1215,67,21,0,0,885,45,0,45
1500000US360050024000,360050024000,"Block Group 0, Census Tract 24, Bronx County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US360050024001,360050024001,"Block Group 1, Census Tract 24, Bronx County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US360050025001,360050025001,"Block Group 1, Census Tract 25, Bronx County, New York",890,146,33,113,0,0,0,0,0,0,0,744,0,0,0,0,351,0,0,0
1500000US360050025002,360050025002,"Block Group 2, Census Tract 25, Bronx County, New York",1295,429,0,429,0,0,0,0,0,0,0,866,58,0,0,0,512,51,51,0
1500000US360050025003,360050025003,"Block Group 3, Census Tract 25, Bronx County, New York",1315,267,0,77,0,184,0,0,6,0,6,1048,62,0,0,0,774,26,18,8
1500000US360050025004,360050025004,"Block Group 4, Census Tract 25, Bronx County, New York",1043,114,0,114,0,0,0,0,0,0,0,929,26,0,38,0,469,39,9,30
1500000US360050025005,360050025005,"Block Group 5, Census Tract 25, Bronx County, New York",600,169,26,93,0,50,0,0,0,0,0,431,53,0,21,0,187,16,16,0
1500000US360050027011,360050027011,"Block Group 1, Census Tract 27.01, Bronx County, New York",1727,802,0,779,0,0,0,23,0,0,0,925,47,0,0,0,443,39,39,0
1500000US360050027012,360050027012,"Block Group 2, Census Tract 27.01, Bronx County, New York",1445,227,0,227,0,0,0,0,0,0,0,1218,291,0,0,0,607,15,9,6
1500000US360050027021,360050027021,"Block Group 1, Census Tract 27.02, Bronx County, New York",1328,364,23,341,0,0,0,0,0,0,0,964,263,0,0,0,372,99,49,50
1500000US360050027022,360050027022,"Block Group 2, Census Tract 27.02, Bronx County, New York",1158,255,74,167,0,0,0,14,0,0,0,903,7,0,0,0,675,54,54,0
1500000US360050027023,360050027023,"Block Group 3, Census Tract 27.02, Bronx County, New York",1387,356,0,327,0,0,0,0,29,0,29,1031,56,0,0,0,551,0,0,0
1500000US360050027024,360050027024,"Block Group 4, Census Tract 27.02, Bronx County, New York",810,353,0,353,0,0,0,0,0,0,0,457,36,0,0,0,327,0,0,0
1500000US360050028000,360050028000,"Block Group 0, Census Tract 28, Bronx County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US360050028001,360050028001,"Block Group 1, Census Tract 28, Bronx County, New York",1223,693,0,693,0,0,0,0,0,0,0,530,60,0,0,0,249,119,119,0
1500000US360050028002,360050028002,"Block Group 2, Census Tract 28, Bronx County, New York",2126,1671,0,1465,0,65,0,17,124,27,97,455,79,0,0,0,248,85,66,19
1500000US360050028003,360050028003,"Block Group 3, Census Tract 28, Bronx County, New York",1340,1088,0,1088,0,0,0,0,0,0,0,252,28,0,0,0,213,11,11,0
1500000US360050028004,360050028004,"Block Group 4, Census Tract 28, Bronx County, New York",1057,856,11,828,0,0,0,0,17,0,17,201,168,0,0,0,0,0,0,0
1500000US360050031001,360050031001,"Block Group 1, Census Tract 31, Bronx County, New York",1538,491,7,431,0,48,0,0,5,0,5,1047,95,0,0,0,471,50,0,50
1500000US360050033001,360050033001,"Block Group 1, Census Tract 33, Bronx County, New York",754,203,0,203,0,0,0,0,0,0,0,551,0,0,0,0,369,0,0,0
1500000US360050033002,360050033002,"Block Group 2, Census Tract 33, Bronx County, New York",1501,528,13,515,0,0,0,0,0,0,0,973,158,0,0,0,429,27,15,12
1500000US360050033003,360050033003,"Block Group 3, Census Tract 33, Bronx County, New York",1597,419,0,408,0,0,0,0,11,0,11,1178,257,0,0,0,454,0,0,0
1500000US360050035001,360050035001,"Block Group 1, Census Tract 35, Bronx County, New York",827,183,0,183,0,0,0,0,0,0,0,644,107,0,0,0,373,63,0,63
1500000US360050035002,360050035002,"Block Group 2, Census Tract 35, Bronx County, New York",1422,643,0,643,0,0,0,0,0,0,0,779,34,8,0,0,592,74,74,0
1500000US360050035003,360050035003,"Block Group 3, Census Tract 35, Bronx County, New York",1504,206,27,179,0,0,0,0,0,0,0,1298,18,6,0,0,1062,38,38,0
1500000US360050037001,360050037001,"Block Group 1, Census Tract 37, Bronx County, New York",199,79,38,41,0,0,0,0,0,0,0,120,0,0,0,0,108,0,0,0
1500000US360050038001,360050038001,"Block Group 1, Census Tract 38, Bronx County, New York",1303,648,24,599,0,9,0,7,9,0,9,655,15,0,8,0,381,5,5,0
1500000US360050039001,360050039001,"Block Group 1, Census Tract 39, Bronx County, New York",1275,53,0,53,0,0,0,0,0,0,0,1222,66,0,0,0,969,0,0,0
1500000US360050039002,360050039002,"Block Group 2, Census Tract 39, Bronx County, New York",1992,491,0,466,0,25,0,0,0,0,0,1501,151,0,0,0,962,0,0,0
1500000US360050039003,360050039003,"Block Group 3, Census Tract 39, Bronx County, New York",760,168,102,66,0,0,0,0,0,0,0,592,0,0,0,0,307,0,0,0
1500000US360050039004,360050039004,"Block Group 4, Census Tract 39, Bronx County, New York",837,231,0,231,0,0,0,0,0,0,0,606,0,0,0,0,149,0,0,0
1500000US360050039005,360050039005,"Block Group 5, Census Tract 39, Bronx County, New York",1716,486,36,398,0,52,0,0,0,0,0,1230,0,33,0,0,931,0,0,0
1500000US360050040011,360050040011,"Block Group 1, Census Tract 40.01, Bronx County, New York",1550,1093,188,330,0,370,0,28,177,14,163,457,0,0,0,0,221,46,16,30
1500000US360050041001,360050041001,"Block Group 1, Census Tract 41, Bronx County, New York",1803,363,0,351,0,12,0,0,0,0,0,1440,9,12,0,0,737,214,13,201
1500000US360050041002,360050041002,"Block Group 2, Census Tract 41, Bronx County, New York",2419,99,28,71,0,0,0,0,0,0,0,2320,401,29,0,0,1151,4,4,0
1500000US360050041003,360050041003,"Block Group 3, Census Tract 41, Bronx County, New York",18,9,0,0,0,0,0,9,0,0,0,9,0,0,0,0,9,0,0,0
1500000US360050041004,360050041004,"Block Group 4, Census Tract 41, Bronx County, New York",2243,1015,16,999,0,0,0,0,0,0,0,1228,237,0,0,0,447,10,10,0
1500000US360050042001,360050042001,"Block Group 1, Census Tract 42, Bronx County, New York",602,274,0,274,0,0,0,0,0,0,0,328,112,0,0,0,92,0,0,0
1500000US360050042002,360050042002,"Block Group 2, Census Tract 42, Bronx County, New York",3503,1818,0,1801,0,0,0,17,0,0,0,1685,196,74,68,0,515,19,19,0
1500000US360050042003,360050042003,"Block Group 3, Census Tract 42, Bronx County, New York",1339,575,15,486,0,0,0,0,74,0,74,764,156,0,0,0,372,0,0,0
1500000US360050042004,360050042004,"Block Group 4, Census Tract 42, Bronx County, New York",678,561,0,549,0,0,0,0,12,0,12,117,16,0,0,0,51,50,17,33
1500000US360050042005,360050042005,"Block Group 5, Census Tract 42, Bronx County, New York",621,508,125,366,0,17,0,0,0,0,0,113,66,0,0,0,22,0,0,0
1500000US360050042006,360050042006,"Block Group 6, Census Tract 42, Bronx County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US360050042007,360050042007,"Block Group 7, Census Tract 42, Bronx County, New York",856,220,14,206,0,0,0,0,0,0,0,636,0,0,0,0,377,0,0,0
1500000US360050043001,360050043001,"Block Group 1, Census Tract 43, Bronx County, New York",1657,418,0,418,0,0,0,0,0,0,0,1239,63,0,0,0,936,57,0,57
1500000US360050043002,360050043002,"Block Group 2, Census Tract 43, Bronx County, New York",1935,404,16,380,0,0,0,0,8,0,8,1531,166,104,0,10,1062,7,7,0
1500000US360050043003,360050043003,"Block Group 3, Census Tract 43, Bronx County, New York",1291,362,10,237,0,0,0,0,115,0,115,929,149,0,0,0,525,5,5,0
1500000US360050043004,360050043004,"Block Group 4, Census Tract 43, Bronx County, New York",958,173,0,173,0,0,0,0,0,0,0,785,176,0,0,0,436,23,15,8
1500000US360050044001,360050044001,"Block Group 1, Census Tract 44, Bronx County, New York",1280,336,0,336,0,0,0,0,0,0,0,944,195,5,14,0,495,39,39,0
1500000US360050044002,360050044002,"Block Group 2, Census Tract 44, Bronx County, New York",461,39,0,39,0,0,0,0,0,0,0,422,8,0,0,0,343,0,0,0
1500000US360050044003,360050044003,"Block Group 3, Census Tract 44, Bronx County, New York",1970,1008,32,728,0,242,0,0,6,0,6,962,19,5,0,0,613,160,160,0
1500000US360050044004,360050044004,"Block Group 4, Census Tract 44, Bronx County, New York",1119,566,0,566,0,0,0,0,0,0,0,553,40,0,0,0,299,76,50,26
1500000US360050046001,360050046001,"Block Group 1, Census Tract 46, Bronx County, New York",1659,640,27,589,9,0,0,0,15,0,15,1019,51,0,0,0,551,10,10,0
1500000US360050048001,360050048001,"Block Group 1, Census Tract 48, Bronx County, New York",1464,255,29,193,0,24,0,0,9,9,0,1209,124,9,0,0,618,194,60,134
1500000US360050048002,360050048002,"Block Group 2, Census Tract 48, Bronx County, New York",2560,747,33,541,0,138,0,0,35,27,8,1813,17,9,0,0,1452,110,100,10
1500000US360050050011,360050050011,"Block Group 1, Census Tract 50.01, Bronx County, New York",1673,421,0,421,0,0,0,0,0,0,0,1252,14,0,0,0,730,171,160,11
1500000US360050050012,360050050012,"Block Group 2, Census Tract 50.01, Bronx County, New York",1323,559,0,559,0,0,0,0,0,0,0,764,419,0,0,0,208,14,14,0
1500000US360050050013,360050050013,"Block Group 3, Census Tract 50.01, Bronx County, New York",1045,347,0,344,0,0,0,0,3,0,3,698,4,0,18,0,626,34,34,0
1500000US360050050014,360050050014,"Block Group 4, Census Tract 50.01, Bronx County, New York",999,768,0,563,0,0,0,76,129,129,0,231,0,0,0,0,214,0,0,0
1500000US360050050021,360050050021,"Block Group 1, Census Tract 50.02, Bronx County, New York",1923,371,0,284,68,11,0,0,8,0,8,1552,274,0,0,0,740,0,0,0
1500000US360050050022,360050050022,"Block Group 2, Census Tract 50.02, Bronx County, New York",973,141,6,126,0,0,0,9,0,0,0,832,43,19,0,0,639,47,36,11
1500000US360050050023,360050050023,"Block Group 3, Census Tract 50.02, Bronx County, New York",1482,543,14,225,0,140,0,164,0,0,0,939,0,46,0,0,615,60,0,60
1500000US360050050024,360050050024,"Block Group 4, Census Tract 50.02, Bronx County, New York",1413,415,0,211,0,0,0,170,34,34,0,998,0,0,11,0,646,155,126,29
1500000US360050051001,360050051001,"Block Group 1, Census Tract 51, Bronx County, New York",502,211,0,211,0,0,0,0,0,0,0,291,0,0,0,0,285,2,2,0
1500000US360050051002,360050051002,"Block Group 2, Census Tract 51, Bronx County, New York",2922,966,0,903,63,0,0,0,0,0,0,1956,199,29,0,0,1284,49,26,23
1500000US360050051003,360050051003,"Block Group 3, Census Tract 51, Bronx County, New York",2390,676,19,648,0,9,0,0,0,0,0,1714,263,0,0,0,1085,27,27,0
1500000US360050052001,360050052001,"Block Group 1, Census Tract 52, Bronx County, New York",565,156,9,94,0,53,0,0,0,0,0,409,11,0,0,0,140,101,101,0
1500000US360050052002,360050052002,"Block Group 2, Census Tract 52, Bronx County, New York",1563,448,0,443,0,0,0,0,5,0,5,1115,16,0,0,0,741,153,142,11
1500000US360050053001,360050053001,"Block Group 1, Census Tract 53, Bronx County, New York",1716,977,13,944,0,0,0,0,20,0,20,739,49,0,0,0,563,85,85,0
1500000US360050053002,360050053002,"Block Group 2, Census Tract 53, Bronx County, New York",1589,907,37,794,13,0,0,0,63,0,63,682,38,61,0,0,396,129,118,11
1500000US360050054001,360050054001,"Block Group 1, Census Tract 54, Bronx County, New York",964,160,4,75,0,0,0,81,0,0,0,804,76,0,42,0,604,64,0,64
1500000US360050054002,360050054002,"Block Group 2, Census Tract 54, Bronx County, New York",3328,1109,0,1032,0,12,0,65,0,0,0,2219,205,0,0,0,1117,397,397,0
1500000US360050054003,360050054003,"Block Group 3, Census Tract 54, Bronx County, New York",963,179,0,69,0,37,0,0,73,73,0,784,18,0,0,0,508,0,0,0
1500000US360050054004,360050054004,"Block Group 4, Census Tract 54, Bronx County, New York",1079,335,0,242,0,54,0,0,39,0,39,744,0,0,0,0,339,194,177,17
1500000US360050056001,360050056001,"Block Group 1, Census Tract 56, Bronx County, New York",779,343,9,266,0,0,0,68,0,0,0,436,0,0,0,0,336,21,21,0
1500000US360050056002,360050056002,"Block Group 2, Census Tract 56, Bronx County, New York",825,127,0,77,0,5,0,45,0,0,0,698,13,0,0,0,461,86,86,0
1500000US360050056003,360050056003,"Block Group 3, Census Tract 56, Bronx County, New York",787,261,11,191,0,40,0,0,19,19,0,526,63,0,0,0,292,32,32,0
1500000US360050059021,360050059021,"Block Group 1, Census Tract 59.02, Bronx County, New York",1154,407,56,342,0,0,0,0,9,0,9,747,64,0,0,0,345,198,0,198
