Id,Id2,Geography,Median_HH_Income
1500000US360050001000,360050001000,"Block Group 0, Census Tract 1, Bronx County, New York",-
1500000US360050001001,360050001001,"Block Group 1, Census Tract 1, Bronx County, New York",-
1500000US360050002000,360050002000,"Block Group 0, Census Tract 2, Bronx County, New York",-
1500000US360050002001,360050002001,"Block Group 1, Census Tract 2, Bronx County, New York",61477
1500000US360050002002,360050002002,"Block Group 2, Census Tract 2, Bronx County, New York",93867
1500000US360050002003,360050002003,"Block Group 3, Census Tract 2, Bronx County, New York",73500
1500000US360050004000,360050004000,"Block Group 0, Census Tract 4, Bronx County, New York",-
1500000US360050004001,360050004001,"Block Group 1, Census Tract 4, Bronx County, New York",52426
1500000US360050004002,360050004002,"Block Group 2, Census Tract 4, Bronx County, New York",39976
1500000US360050004003,360050004003,"Block Group 3, Census Tract 4, Bronx County, New York",101154
1500000US360050004004,360050004004,"Block Group 4, Census Tract 4, Bronx County, New York",56917
1500000US360050016001,360050016001,"Block Group 1, Census Tract 16, Bronx County, New York",32436
1500000US360050016002,360050016002,"Block Group 2, Census Tract 16, Bronx County, New York",26250
1500000US360050016003,360050016003,"Block Group 3, Census Tract 16, Bronx County, New York",28958
1500000US360050016004,360050016004,"Block Group 4, Census Tract 16, Bronx County, New York",56438
1500000US360050019000,360050019000,"Block Group 0, Census Tract 19, Bronx County, New York",-
1500000US360050019001,360050019001,"Block Group 1, Census Tract 19, Bronx County, New York",37630
1500000US360050019002,360050019002,"Block Group 2, Census Tract 19, Bronx County, New York",-
1500000US360050019003,360050019003,"Block Group 3, Census Tract 19, Bronx County, New York",27978
1500000US360050019004,360050019004,"Block Group 4, Census Tract 19, Bronx County, New York",-
1500000US360050019005,360050019005,"Block Group 5, Census Tract 19, Bronx County, New York",-
1500000US360050020001,360050020001,"Block Group 1, Census Tract 20, Bronx County, New York",29653
1500000US360050020002,360050020002,"Block Group 2, Census Tract 20, Bronx County, New York",32912
1500000US360050020003,360050020003,"Block Group 3, Census Tract 20, Bronx County, New York",14375
1500000US360050020004,360050020004,"Block Group 4, Census Tract 20, Bronx County, New York",30704
1500000US360050020005,360050020005,"Block Group 5, Census Tract 20, Bronx County, New York",20900
1500000US360050020006,360050020006,"Block Group 6, Census Tract 20, Bronx County, New York",75395
1500000US360050023001,360050023001,"Block Group 1, Census Tract 23, Bronx County, New York",13946
1500000US360050023002,360050023002,"Block Group 2, Census Tract 23, Bronx County, New York",22606
1500000US360050023003,360050023003,"Block Group 3, Census Tract 23, Bronx County, New York",14262
1500000US360050024000,360050024000,"Block Group 0, Census Tract 24, Bronx County, New York",-
1500000US360050024001,360050024001,"Block Group 1, Census Tract 24, Bronx County, New York",-
1500000US360050025001,360050025001,"Block Group 1, Census Tract 25, Bronx County, New York",26250
1500000US360050025002,360050025002,"Block Group 2, Census Tract 25, Bronx County, New York",11424
1500000US360050025003,360050025003,"Block Group 3, Census Tract 25, Bronx County, New York",14966
1500000US360050025004,360050025004,"Block Group 4, Census Tract 25, Bronx County, New York",30000
1500000US360050025005,360050025005,"Block Group 5, Census Tract 25, Bronx County, New York",13429
1500000US360050027011,360050027011,"Block Group 1, Census Tract 27.01, Bronx County, New York",20807
1500000US360050027012,360050027012,"Block Group 2, Census Tract 27.01, Bronx County, New York",16861
1500000US360050027021,360050027021,"Block Group 1, Census Tract 27.02, Bronx County, New York",19087
1500000US360050027022,360050027022,"Block Group 2, Census Tract 27.02, Bronx County, New York",37401
1500000US360050027023,360050027023,"Block Group 3, Census Tract 27.02, Bronx County, New York",18185
1500000US360050027024,360050027024,"Block Group 4, Census Tract 27.02, Bronx County, New York",12150
1500000US360050028000,360050028000,"Block Group 0, Census Tract 28, Bronx County, New York",-
1500000US360050028001,360050028001,"Block Group 1, Census Tract 28, Bronx County, New York",31528
1500000US360050028002,360050028002,"Block Group 2, Census Tract 28, Bronx County, New York",61710
1500000US360050028003,360050028003,"Block Group 3, Census Tract 28, Bronx County, New York",39018
1500000US360050028004,360050028004,"Block Group 4, Census Tract 28, Bronx County, New York",49769
1500000US360050031001,360050031001,"Block Group 1, Census Tract 31, Bronx County, New York",39962
1500000US360050033001,360050033001,"Block Group 1, Census Tract 33, Bronx County, New York",52417
1500000US360050033002,360050033002,"Block Group 2, Census Tract 33, Bronx County, New York",22821
1500000US360050033003,360050033003,"Block Group 3, Census Tract 33, Bronx County, New York",12750
1500000US360050035001,360050035001,"Block Group 1, Census Tract 35, Bronx County, New York",31179
1500000US360050035002,360050035002,"Block Group 2, Census Tract 35, Bronx County, New York",16912
1500000US360050035003,360050035003,"Block Group 3, Census Tract 35, Bronx County, New York",36149
1500000US360050037001,360050037001,"Block Group 1, Census Tract 37, Bronx County, New York",9327
1500000US360050038001,360050038001,"Block Group 1, Census Tract 38, Bronx County, New York",46534
1500000US360050039001,360050039001,"Block Group 1, Census Tract 39, Bronx County, New York",25107
1500000US360050039002,360050039002,"Block Group 2, Census Tract 39, Bronx County, New York",35350
1500000US360050039003,360050039003,"Block Group 3, Census Tract 39, Bronx County, New York",16625
1500000US360050039004,360050039004,"Block Group 4, Census Tract 39, Bronx County, New York",44038
1500000US360050039005,360050039005,"Block Group 5, Census Tract 39, Bronx County, New York",24961
1500000US360050040011,360050040011,"Block Group 1, Census Tract 40.01, Bronx County, New York",47841
